,Airline,AirlineID,Departure,DepartureID,Arrival,ArrivalID,Codeshare,Stops,Equipment,Keep
995,4B,\N,LAS,3877,LAX,3484,,0,PL2,2
996,4B,\N,LAX,3484,LAS,3877,,0,PL2,2
3570,9E,3976,ATL,3682,MSP,3858,,0,,2
3592,9E,3976,MSP,3858,ATL,3682,,0,,2
4697,AA,24,ATL,3682,CLT,3876,Y,0,319 320 CR9 321,2
4698,AA,24,ATL,3682,DFW,3670,,0,M80 319 M83,2
4700,AA,24,ATL,3682,MIA,3576,,0,738,2
4701,AA,24,ATL,3682,ORD,3830,Y,0,CR7 E75,2
4702,AA,24,ATL,3682,PHL,3752,Y,0,E75 E90 319 CRJ E70,2
4795,AA,24,BOS,3448,LAX,3484,,0,738 757,2
4796,AA,24,BOS,3448,LGA,3697,,0,E90 319,2
4802,AA,24,BOS,3448,ORD,3830,,0,738,2
4804,AA,24,BOS,3448,PHL,3752,,0,E90 319 321 320,2
4892,AA,24,CLT,3876,ATL,3682,Y,0,320 CR9 321 319,2
4953,AA,24,CLT,3876,LGA,3697,,0,321 320 319,2
5151,AA,24,DEN,3751,DFW,3670,,0,738 M83 M80,2
5152,AA,24,DEN,3751,LAX,3484,Y,0,CR7,2
5155,AA,24,DEN,3751,ORD,3830,,0,M80 M83,2
5157,AA,24,DEN,3751,PHX,3462,,0,320 321,2
5158,AA,24,DEN,3751,SEA,3577,Y,0,737,2
5165,AA,24,DFW,3670,ATL,3682,,0,M83 M80 319,2
5174,AA,24,DFW,3670,BOS,3448,,0,738 757,2
5201,AA,24,DFW,3670,DEN,3751,,0,738 M80 M83,2
5241,AA,24,DFW,3670,LAS,3877,,0,738 M80 M83 757,2
5243,AA,24,DFW,3670,LAX,3484,,0,738 763 757 M83,2
5248,AA,24,DFW,3670,LGA,3697,,0,738,2
5281,AA,24,DFW,3670,ORD,3830,,0,M80 M83,2
5286,AA,24,DFW,3670,PHL,3752,,0,738 320 319 M83 M80 E90 757,2
5311,AA,24,DFW,3670,SFO,3469,,0,738 757 763,2
5363,AA,24,DTW,3645,LGA,3697,Y,0,CR7,2
5365,AA,24,DTW,3645,ORD,3830,Y,0,E75 ERD ER4 CR7,2
5402,AA,24,EWR,3494,ORD,3830,Y,0,E75 CR7,2
5551,AA,24,IAH,3550,LAX,3484,Y,0,CR7,2
5554,AA,24,IAH,3550,ORD,3830,Y,0,CR7,2
5619,AA,24,JFK,3797,LAS,3877,,0,738,2
5620,AA,24,JFK,3797,LAX,3484,,0,32B 762,2
5626,AA,24,JFK,3797,MCO,3878,,0,763 757,2
5627,AA,24,JFK,3797,MIA,3576,,0,757 763 738,2
5640,AA,24,JFK,3797,SFO,3469,,0,32B 763,2
5675,AA,24,LAS,3877,DFW,3670,,0,M80 738 M83 757,2
5676,AA,24,LAS,3877,JFK,3797,,0,738,2
5677,AA,24,LAS,3877,LAX,3484,,0,738,2
5681,AA,24,LAS,3877,ORD,3830,,0,M83 738,2
5695,AA,24,LAX,3484,BOS,3448,,0,757 738,2
5699,AA,24,LAX,3484,DEN,3751,Y,0,CR7,2
5700,AA,24,LAX,3484,DFW,3670,,0,738 763 757 M83,2
5710,AA,24,LAX,3484,IAH,3550,Y,0,CR7,2
5712,AA,24,LAX,3484,JFK,3797,,0,32B 762,2
5714,AA,24,LAX,3484,LAS,3877,,0,738,2
5730,AA,24,LAX,3484,ORD,3830,,0,738,2
5743,AA,24,LAX,3484,SEA,3577,Y,0,737,2
5744,AA,24,LAX,3484,SFO,3469,,0,738,2
5767,AA,24,LGA,3697,BOS,3448,,0,319 E90,2
5769,AA,24,LGA,3697,CLT,3876,,0,321 319 320,2
5773,AA,24,LGA,3697,DFW,3670,,0,738,2
5774,AA,24,LGA,3697,DTW,3645,Y,0,CR7,2
5778,AA,24,LGA,3697,MIA,3576,,0,738,2
5779,AA,24,LGA,3697,ORD,3830,,0,738,2
5961,AA,24,MCO,3878,PHL,3752,,0,321 767 757 320 332,2
6002,AA,24,MIA,3576,ATL,3682,,0,738,2
6052,AA,24,MIA,3576,JFK,3797,,0,763 757 738,2
6056,AA,24,MIA,3576,LGA,3697,,0,738,2
6143,AA,24,MSP,3858,ORD,3830,Y,0,E75 CR7,2
6229,AA,24,ORD,3830,ATL,3682,Y,0,E75 CR7,2
6236,AA,24,ORD,3830,BOS,3448,,0,738,2
6254,AA,24,ORD,3830,DEN,3751,,0,M80 M83,2
6255,AA,24,ORD,3830,DFW,3670,,0,M80 M83 738,2
6258,AA,24,ORD,3830,DTW,3645,Y,0,ERD E75 ER4 CR7,2
6263,AA,24,ORD,3830,EWR,3494,Y,0,CR7 E75,2
6275,AA,24,ORD,3830,IAH,3550,Y,0,CR7,2
6280,AA,24,ORD,3830,LAS,3877,,0,M83 738,2
6281,AA,24,ORD,3830,LAX,3484,,0,738,2
6283,AA,24,ORD,3830,LGA,3697,,0,738,2
6301,AA,24,ORD,3830,MSP,3858,Y,0,E75 CR7,2
6309,AA,24,ORD,3830,PHL,3752,,0,320 321 319 E90,2
6310,AA,24,ORD,3830,PHX,3462,,0,321 738 M83 320 M80,2
6325,AA,24,ORD,3830,SEA,3577,,0,738,2
6326,AA,24,ORD,3830,SFO,3469,,0,738,2
