"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-01",99.19926,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-02",99.10901,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-03",99.0854,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-04",99.15007,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-05",99.28857,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-06",99.38564,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-07",99.29813,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-08",98.88464,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-09",98.05082,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-10",97.14174,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-11",96.42305,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2008-12",96.01791,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-01",96.05501,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-02",96.27065,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-03",96.64789,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-04",97.2221,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-05",97.85161,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-06",98.48891,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-07",99.14291,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-08",99.68548,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-09",100.0005,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-10",100.2233,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-11",100.3412,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2009-12",100.5623,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-01",100.8807,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-02",101.1089,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-03",101.2994,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-04",101.2411,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-05",100.9671,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-06",100.6433,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-07",100.4621,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-08",100.4382,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-09",100.5467,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-10",100.7693,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-11",101.0058,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2010-12",101.1903,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-01",101.3294,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-02",101.381,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-03",101.284,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-04",101.0342,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-05",100.6328,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-06",100.3785,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-07",100.1067,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-08",99.92973,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2011-09",99.81136,
