Date,price
01-01-2011,2.62
02-01-2011,2.62
03-01-2011,2.62
04-01-2011,2.62
05-01-2011,2.62
06-01-2011,2.62
07-01-2011,2.62
08-01-2011,2.62
09-01-2011,2.62
10-01-2011,2.62
11-01-2011,2.62
12-01-2011,2.62
13-01-2011,2.62
14-01-2011,2.62
15-01-2011,2.62
16-01-2011,2.62
17-01-2011,2.62
18-01-2011,2.62
19-01-2011,2.62
20-01-2011,2.62
21-01-2011,2.62
22-01-2011,2.62
23-01-2011,2.62
24-01-2011,2.62
25-01-2011,2.62
26-01-2011,2.62
27-01-2011,2.62
28-01-2011,2.62
29-01-2011,2.62
30-01-2011,2.62
31-01-2011,2.62
01-02-2011,2.84
02-02-2011,2.84
03-02-2011,2.84
04-02-2011,2.84
05-02-2011,2.84
06-02-2011,2.84
07-02-2011,2.84
08-02-2011,2.84
09-02-2011,2.84
10-02-2011,2.84
11-02-2011,2.84
12-02-2011,2.84
13-02-2011,2.84
14-02-2011,2.84
15-02-2011,2.84
16-02-2011,2.84
17-02-2011,2.84
18-02-2011,2.84
19-02-2011,2.84
20-02-2011,2.84
21-02-2011,2.84
22-02-2011,2.84
23-02-2011,2.84
24-02-2011,2.84
25-02-2011,2.84
26-02-2011,2.84
27-02-2011,2.84
28-02-2011,2.84
01-03-2011,3.13
02-03-2011,3.13
03-03-2011,3.13
04-03-2011,3.13
05-03-2011,3.13
06-03-2011,3.13
07-03-2011,3.13
08-03-2011,3.13
09-03-2011,3.13
10-03-2011,3.13
11-03-2011,3.13
12-03-2011,3.13
13-03-2011,3.13
14-03-2011,3.13
15-03-2011,3.13
16-03-2011,3.13
17-03-2011,3.13
18-03-2011,3.13
19-03-2011,3.13
20-03-2011,3.13
21-03-2011,3.13
22-03-2011,3.13
23-03-2011,3.13
24-03-2011,3.13
25-03-2011,3.13
26-03-2011,3.13
27-03-2011,3.13
28-03-2011,3.13
29-03-2011,3.13
30-03-2011,3.13
31-03-2011,3.13
01-04-2011,3.27
02-04-2011,3.27
03-04-2011,3.27
04-04-2011,3.27
05-04-2011,3.27
06-04-2011,3.27
07-04-2011,3.27
08-04-2011,3.27
09-04-2011,3.27
10-04-2011,3.27
11-04-2011,3.27
12-04-2011,3.27
13-04-2011,3.27
14-04-2011,3.27
15-04-2011,3.27
16-04-2011,3.27
17-04-2011,3.27
18-04-2011,3.27
19-04-2011,3.27
20-04-2011,3.27
21-04-2011,3.27
22-04-2011,3.27
23-04-2011,3.27
